Checked,Original title,Local title,Year,Media type,Type,Edition,Country,Case,Discs,Sub-fi,Sub-en,Aspect ratio,Running time,Director,Status,Condition,Notes,Watched,Rental,Slip Cover,Hologram,Id,Barcode,IMDB,Collection Id,Series,Publisher,Studio,Vihkonen,Kohtausluettelo,2 Sided Disc,2 Sided Cover
yes,The World's Fastest Indian,The World's Fastest Indian - Maailman nopein intiaani,2005,Movie,DVD,,Finland,,1,yes,no,,0,Roger Donaldson,Owned,Excellent,,no,no,no,no,7116,7046681000338,tt0412080,,,,,no,no,no,
yes,The Wrestler,,2008,Movie,Blu-ray,,Finland,,1,yes,no,2.35:1,109,Darren Aronofsky,Owned,Excellent,,no,no,no,no,841,6416335176138,tt1125849,,Rakkautta ja anarkiaa,,,,,,
no,The Wrestler,,2008,Movie,Blu-ray,,United Kingdom,,1,no,yes,2.35:1,109,Darren Aronofsky,Owned,,,no,no,no,no,2650,5055201807007,tt1125849,,,,,,,,
yes,The Wretched,,2019,Movie,Blu-ray,,Nordic,,1,yes,no,,0,"Brett Pierce, Drew T. Pierce",Owned,Excellent,,no,no,no,no,7588,5053083219741,tt8305806,,,,,no,no,no,
no,The X Files,The X Files: Fight the Future,1998,TV Serie,DVD,,Finland,,2,no,no,2.40:1,118,Rob Bowman,Owned,,,no,no,no,no,2637,7340112702229,tt0120902,,,,,,,,
yes,The X Files,X-Files - Taistelu Tulevaisuudesta,1998,Movie,DVD,,Finland,,1,yes,no,,0,Rob Bowman,Owned,Fair,Special Edition pidennetty versio,no,no,no,no,6149,6420614622650,tt0120902,,,,,no,no,no,
no,The X Files: I Want to Believe,,2008,Movie,DVD,,Finland,,1,no,no,2.40:1,104,Chris Carter,Owned,,,no,no,no,no,2636,7340112708696,tt0443701,,,,,,,,
no,The X-Files,The X-Files Essentials,1993,TV Serie,DVD,,Finland,,2,no,no,,-1,"Kim Manners, Rob Bowman, David Nutter, Chris Carter, R.W. Goodwin, Tony Wharmby, Michael W. Watkins, Daniel Sackheim, Michael Lange, James Wong, Jim Charleston, Cliff Bole, William A. Graham, Peter Markle, David Duchovny, Thomas J. Wright, Rod Hardy, Glen Morgan, Jerrold Freedman, Joe Napolitano, Larry Shaw, Tucker Gates, Vince Gilligan, Richard Compton, Frank Spotnitz, Darin Morgan, Fred Gerber, Michael Katleman, Harry Longstreet, Robert Mandel, Win Phelps, Stephen Surjik, James A. Contner, Nick Marck, Michael Vejar, James Whitmore Jr., Brett Dowler, Allen Coulter, Ralph Hemecker, Robert Lieberman, Bryan Spicer, Gillian Anderson, Paul Shapiro, Terrence O'Hara, Barry K. Thomas, Dwight H. Little, Michelle Maclaren, John Shiban, Carol Banker, Holly Dale, Kevin Hooks",Owned,,,no,no,no,no,2090,6438044178654,tt0106179,,,,,,,,
no,The X-Files,The X-Files: The Complete Collection,1993,TV Serie,DVD,,Nordic,,61,no,no,,0,"Kim Manners, Rob Bowman, David Nutter, Chris Carter, Tony Wharmby, Michael W. Watkins, Daniel Sackheim, Michael Lange, Jim Charleston, Cliff Bole, William A. Graham, Peter Markle, David Duchovny, Thomas J. Wright, Rod Hardy, Jerrold Freedman, Joe Napolitano, Larry Shaw, Tucker Gates, Vince Gilligan, Richard Compton, Frank Spotnitz, Fred Gerber, Michael Katleman, Harry Longstreet, Robert Mandel, Win Phelps, Stephen Surjik, James A. Contner, Nick Marck, Michael Vejar, James Whitmore Jr., James Wong, Brett Dowler, Allen Coulter, Ralph Hemecker, Robert Lieberman, Bryan Spicer, Gillian Anderson, Paul Shapiro, Barry K. Thomas, Dwight H. Little, Michelle Maclaren, John Shiban",Owned,,"1-3 kausilta levyjen kunto tsekattu. 1. kaudella jokunen fair, 2. kaudella kaikki hyviä, 3. kaudella 1 fair loput kaudet saattaa olla käyttämättömiä ja siten virheettömiä",no,no,no,no,573,7340112710514,tt0106179,,,,,,,,
no,The X-Files: I Want To Believe,X-Files: Usko koetuksella,2008,TV Serie,DVD,Directors Cut,Finland,,2,yes,yes,1.85:1,104,Chris Carter,Owned,,,no,no,no,no,2085,6438044176155,tt0443701,,,,,,,,
yes,The Yards,Yards,2000,Movie,DVD,,Finland,,1,yes,no,2.35:1,110,James Gray,Owned,Good,,no,no,no,no,3044,5706141746894,tt0138946,,,,,,,,
yes,The Young Ones: Season 1,Älypäät: Kausi 1,1982,TV Serie,DVD,,Finland,,1,yes,no,,0,"Geoff Posner, Ed Bye",Owned,Poor - Slightly Damaged,,no,no,no,no,792,7391970000866,tt0083505,,,,,,,,
yes,The Young Ones: Season 2,Älypäät - kausi 2,0,TV Serie,DVD,,Finland,,1,yes,no,,0,,Owned,Excellent,,no,no,no,no,2394,7391970012111,tt0083505,,,,,,,,
yes,The Young Poisoner's Handbook,Young Poisoners Handbook,1995,Movie,DVD,,Finland,,1,yes,no,,0,Benjamin Ross,Owned,Good,,no,no,no,no,609,6416548903811,tt0115033,,,,,,,,
yes,The Young Victoria,Nuori Victoria,2009,Movie,DVD,,Finland,,1,yes,no,,0,Jean-Marc Vallée,Owned,Excellent,,no,no,no,no,4455,6420201179222,tt0962736,,,,,,,,
no,The Zion Archive,,2004,Other,DVD,,United Kingdom,,1,no,yes,2.35:1,107,,Owned,,,no,no,no,no,988,0,tt0000000,,,,,,,,
no,Theatre of Blood,,1973,Movie,Blu-ray,Special Edition,United Kingdom,,1,no,yes,1.66:1,104,Douglas Hickox,Owned,,,no,no,no,no,5648,5027035010960,tt0070791,,,,,no,no,no,
no,Thelma & Louise,,1991,Movie,DVD,,Portugal,,1,yes,yes,2.35:1,129,Ridley Scott,SaleOrTrade,,,no,no,no,no,921,5608652013055,tt0103074,,,,,,,,
yes,Thelma and Louise,Thelma ja Louise,1991,Movie,DVD,Special Edition,Finland,,1,yes,yes,2.35:1,124,Ridley Scott,Owned,Excellent,,no,no,no,no,1360,6420614626450,tt0103074,,,,,,,,
